Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
46 Valencia/València;46250 València;4625002025 València sección 02025;Total;Todas las edades;2025;813
46 Valencia/València;46250 València;4625002026 València sección 02026;Total;Todas las edades;2025;987
46 Valencia/València;46250 València;4625002030 València sección 02030;Total;Todas las edades;2025;832
46 Valencia/València;46250 València;4625002031 València sección 02031;Total;Todas las edades;2025;1.146
46 Valencia/València;46250 València;4625002032 València sección 02032;Total;Todas las edades;2025;890
46 Valencia/València;46250 València;4625002033 València sección 02033;Total;Todas las edades;2025;1.641
46 Valencia/València;46250 València;4625002035 València sección 02035;Total;Todas las edades;2025;1.061
46 Valencia/València;46250 València;4625002036 València sección 02036;Total;Todas las edades;2025;835
46 Valencia/València;46250 València;4625002037 València sección 02037;Total;Todas las edades;2025;1.362
46 Valencia/València;46250 València;4625002039 València sección 02039;Total;Todas las edades;2025;1.614
46 Valencia/València;46250 València;4625002040 València sección 02040;Total;Todas las edades;2025;""
46 Valencia/València;46250 València;4625002041 València sección 02041;Total;Todas las edades;2025;800
46 Valencia/València;46250 València;4625002042 València sección 02042;Total;Todas las edades;2025;1.096
46 Valencia/València;46250 València;4625002043 València sección 02043;Total;Todas las edades;2025;765
46 Valencia/València;46250 València;4625002044 València sección 02044;Total;Todas las edades;2025;722
46 Valencia/València;46250 València;4625002045 València sección 02045;Total;Todas las edades;2025;1.424
46 Valencia/València;46250 València;4625002046 València sección 02046;Total;Todas las edades;2025;954
46 Valencia/València;46250 València;4625002047 València sección 02047;Total;Todas las edades;2025;855
46 Valencia/València;46250 València;4625002050 València sección 02050;Total;Todas las edades;2025;1.145
46 Valencia/València;46250 València;4625002051 València sección 02051;Total;Todas las edades;2025;1.418
46 Valencia/València;46250 València;4625002053 València sección 02053;Total;Todas las edades;2025;944
46 Valencia/València;46250 València;4625002054 València sección 02054;Total;Todas las edades;2025;736
46 Valencia/València;46250 València;4625002055 València sección 02055;Total;Todas las edades;2025;1.317
46 Valencia/València;46250 València;4625002057 València sección 02057;Total;Todas las edades;2025;1.026
46 Valencia/València;46250 València;4625003001 València sección 03001;Total;Todas las edades;2025;897
46 Valencia/València;46250 València;4625003002 València sección 03002;Total;Todas las edades;2025;1.675
46 Valencia/València;46250 València;4625003004 València sección 03004;Total;Todas las edades;2025;1.846
46 Valencia/València;46250 València;4625003007 València sección 03007;Total;Todas las edades;2025;1.203
46 Valencia/València;46250 València;4625003008 València sección 03008;Total;Todas las edades;2025;1.367
46 Valencia/València;46250 València;4625003010 València sección 03010;Total;Todas las edades;2025;1.933
46 Valencia/València;46250 València;4625003013 València sección 03013;Total;Todas las edades;2025;1.926
46 Valencia/València;46250 València;4625003015 València sección 03015;Total;Todas las edades;2025;1.190
46 Valencia/València;46250 València;4625003017 València sección 03017;Total;Todas las edades;2025;1.343
46 Valencia/València;46250 València;4625003018 València sección 03018;Total;Todas las edades;2025;929
46 Valencia/València;46250 València;4625003019 València sección 03019;Total;Todas las edades;2025;1.316
46 Valencia/València;46250 València;4625003020 València sección 03020;Total;Todas las edades;2025;1.571
46 Valencia/València;46250 València;4625003021 València sección 03021;Total;Todas las edades;2025;1.420
46 Valencia/València;46250 València;4625003023 València sección 03023;Total;Todas las edades;2025;1.452
46 Valencia/València;46250 València;4625003025 València sección 03025;Total;Todas las edades;2025;985
46 Valencia/València;46250 València;4625003026 València sección 03026;Total;Todas las edades;2025;1.188
46 Valencia/València;46250 València;4625003027 València sección 03027;Total;Todas las edades;2025;2.355
46 Valencia/València;46250 València;4625003029 València sección 03029;Total;Todas las edades;2025;973
46 Valencia/València;46250 València;4625003030 València sección 03030;Total;Todas las edades;2025;1.091
46 Valencia/València;46250 València;4625003032 València sección 03032;Total;Todas las edades;2025;970
46 Valencia/València;46250 València;4625003033 València sección 03033;Total;Todas las edades;2025;1.057
46 Valencia/València;46250 València;4625003034 València sección 03034;Total;Todas las edades;2025;1.397
46 Valencia/València;46250 València;4625003035 València sección 03035;Total;Todas las edades;2025;1.672
46 Valencia/València;46250 València;4625003036 València sección 03036;Total;Todas las edades;2025;1.582
46 Valencia/València;46250 València;4625003037 València sección 03037;Total;Todas las edades;2025;1.214
46 Valencia/València;46250 València;4625003038 València sección 03038;Total;Todas las edades;2025;714
46 Valencia/València;46250 València;4625003040 València sección 03040;Total;Todas las edades;2025;991
46 Valencia/València;46250 València;4625003041 València sección 03041;Total;Todas las edades;2025;2.094
46 Valencia/València;46250 València;4625003044 València sección 03044;Total;Todas las edades;2025;1.588
46 Valencia/València;46250 València;4625003046 València sección 03046;Total;Todas las edades;2025;1.652
46 Valencia/València;46250 València;4625003047 València sección 03047;Total;Todas las edades;2025;1.529
46 Valencia/València;46250 València;4625003048 València sección 03048;Total;Todas las edades;2025;1.775
46 Valencia/València;46250 València;4625003049 València sección 03049;Total;Todas las edades;2025;1.172
46 Valencia/València;46250 València;4625003050 València sección 03050;Total;Todas las edades;2025;1.314
46 Valencia/València;46250 València;4625003052 València sección 03052;Total;Todas las edades;2025;2.052
46 Valencia/València;46250 València;4625003053 València sección 03053;Total;Todas las edades;2025;903
46 Valencia/València;46250 València;4625003055 València sección 03055;Total;Todas las edades;2025;820
46 Valencia/València;46250 València;4625004001 València sección 04001;Total;Todas las edades;2025;1.311
46 Valencia/València;46250 València;4625004002 València sección 04002;Total;Todas las edades;2025;762
46 Valencia/València;46250 València;4625004003 València sección 04003;Total;Todas las edades;2025;1.598
46 Valencia/València;46250 València;4625004004 València sección 04004;Total;Todas las edades;2025;940
46 Valencia/València;46250 València;4625004005 València sección 04005;Total;Todas las edades;2025;1.238
46 Valencia/València;46250 València;4625004006 València sección 04006;Total;Todas las edades;2025;1.447
46 Valencia/València;46250 València;4625004007 València sección 04007;Total;Todas las edades;2025;1.330
46 Valencia/València;46250 València;4625004008 València sección 04008;Total;Todas las edades;2025;942
46 Valencia/València;46250 València;4625004009 València sección 04009;Total;Todas las edades;2025;1.190
46 Valencia/València;46250 València;4625004010 València sección 04010;Total;Todas las edades;2025;1.102
46 Valencia/València;46250 València;4625004011 València sección 04011;Total;Todas las edades;2025;855
46 Valencia/València;46250 València;4625004012 València sección 04012;Total;Todas las edades;2025;1.767
46 Valencia/València;46250 València;4625004014 València sección 04014;Total;Todas las edades;2025;867
46 Valencia/València;46250 València;4625004015 València sección 04015;Total;Todas las edades;2025;1.204
46 Valencia/València;46250 València;4625004016 València sección 04016;Total;Todas las edades;2025;1.480
46 Valencia/València;46250 València;4625004017 València sección 04017;Total;Todas las edades;2025;1.231
46 Valencia/València;46250 València;4625004018 València sección 04018;Total;Todas las edades;2025;2.209
46 Valencia/València;46250 València;4625004019 València sección 04019;Total;Todas las edades;2025;1.449
46 Valencia/València;46250 València;4625004020 València sección 04020;Total;Todas las edades;2025;1.259
46 Valencia/València;46250 València;4625004021 València sección 04021;Total;Todas las edades;2025;2.024
46 Valencia/València;46250 València;4625004022 València sección 04022;Total;Todas las edades;2025;1.240
46 Valencia/València;46250 València;4625004023 València sección 04023;Total;Todas las edades;2025;916
46 Valencia/València;46250 València;4625004024 València sección 04024;Total;Todas las edades;2025;2.578
46 Valencia/València;46250 València;4625004025 València sección 04025;Total;Todas las edades;2025;2.006
46 Valencia/València;46250 València;4625004026 València sección 04026;Total;Todas las edades;2025;2.039
46 Valencia/València;46250 València;4625004027 València sección 04027;Total;Todas las edades;2025;1.871
46 Valencia/València;46250 València;4625004028 València sección 04028;Total;Todas las edades;2025;1.572
46 Valencia/València;46250 València;4625004029 València sección 04029;Total;Todas las edades;2025;1.313
46 Valencia/València;46250 València;4625004030 València sección 04030;Total;Todas las edades;2025;1.847
46 Valencia/València;46250 València;4625005001 València sección 05001;Total;Todas las edades;2025;1.157
46 Valencia/València;46250 València;4625005002 València sección 05002;Total;Todas las edades;2025;986
46 Valencia/València;46250 València;4625005003 València sección 05003;Total;Todas las edades;2025;871
46 Valencia/València;46250 València;4625005004 València sección 05004;Total;Todas las edades;2025;1.515
46 Valencia/València;46250 València;4625005005 València sección 05005;Total;Todas las edades;2025;1.286
46 Valencia/València;46250 València;4625005006 València sección 05006;Total;Todas las edades;2025;1.284
46 Valencia/València;46250 València;4625005007 València sección 05007;Total;Todas las edades;2025;1.094
46 Valencia/València;46250 València;4625005008 València sección 05008;Total;Todas las edades;2025;1.900
46 Valencia/València;46250 València;4625005009 València sección 05009;Total;Todas las edades;2025;1.044
46 Valencia/València;46250 València;4625005010 València sección 05010;Total;Todas las edades;2025;886
46 Valencia/València;46250 València;4625005011 València sección 05011;Total;Todas las edades;2025;1.267
46 Valencia/València;46250 València;4625005013 València sección 05013;Total;Todas las edades;2025;1.486
46 Valencia/València;46250 València;4625005014 València sección 05014;Total;Todas las edades;2025;847
46 Valencia/València;46250 València;4625005015 València sección 05015;Total;Todas las edades;2025;1.423
46 Valencia/València;46250 València;4625005016 València sección 05016;Total;Todas las edades;2025;1.142
46 Valencia/València;46250 València;4625005017 València sección 05017;Total;Todas las edades;2025;872
46 Valencia/València;46250 València;4625005018 València sección 05018;Total;Todas las edades;2025;2.501
46 Valencia/València;46250 València;4625005021 València sección 05021;Total;Todas las edades;2025;1.307
46 Valencia/València;46250 València;4625005022 València sección 05022;Total;Todas las edades;2025;1.697
46 Valencia/València;46250 València;4625005025 València sección 05025;Total;Todas las edades;2025;2.278
46 Valencia/València;46250 València;4625005026 València sección 05026;Total;Todas las edades;2025;""
46 Valencia/València;46250 València;4625005027 València sección 05027;Total;Todas las edades;2025;1.744
46 Valencia/València;46250 València;4625005028 València sección 05028;Total;Todas las edades;2025;1.165
46 Valencia/València;46250 València;4625005029 València sección 05029;Total;Todas las edades;2025;1.200
46 Valencia/València;46250 València;4625005031 València sección 05031;Total;Todas las edades;2025;1.083
46 Valencia/València;46250 València;4625005033 València sección 05033;Total;Todas las edades;2025;1.732
46 Valencia/València;46250 València;4625005034 València sección 05034;Total;Todas las edades;2025;1.586
46 Valencia/València;46250 València;4625005036 València sección 05036;Total;Todas las edades;2025;1.256
46 Valencia/València;46250 València;4625005037 València sección 05037;Total;Todas las edades;2025;804
46 Valencia/València;46250 València;4625005038 València sección 05038;Total;Todas las edades;2025;1.462
46 Valencia/València;46250 València;4625005039 València sección 05039;Total;Todas las edades;2025;1.750
46 Valencia/València;46250 València;4625005040 València sección 05040;Total;Todas las edades;2025;1.898
46 Valencia/València;46250 València;4625005041 València sección 05041;Total;Todas las edades;2025;1.425
46 Valencia/València;46250 València;4625005042 València sección 05042;Total;Todas las edades;2025;1.690
46 Valencia/València;46250 València;4625005043 València sección 05043;Total;Todas las edades;2025;1.983
46 Valencia/València;46250 València;4625005044 València sección 05044;Total;Todas las edades;2025;1.147
46 Valencia/València;46250 València;4625006001 València sección 06001;Total;Todas las edades;2025;1.413
46 Valencia/València;46250 València;4625006002 València sección 06002;Total;Todas las edades;2025;1.630
46 Valencia/València;46250 València;4625006003 València sección 06003;Total;Todas las edades;2025;1.028
46 Valencia/València;46250 València;4625006004 València sección 06004;Total;Todas las edades;2025;1.662
46 Valencia/València;46250 València;4625006006 València sección 06006;Total;Todas las edades;2025;1.255
46 Valencia/València;46250 València;4625006007 València sección 06007;Total;Todas las edades;2025;1.296
46 Valencia/València;46250 València;4625006008 València sección 06008;Total;Todas las edades;2025;1.900
46 Valencia/València;46250 València;4625006009 València sección 06009;Total;Todas las edades;2025;1.456
46 Valencia/València;46250 València;4625006011 València sección 06011;Total;Todas las edades;2025;878
46 Valencia/València;46250 València;4625006012 València sección 06012;Total;Todas las edades;2025;1.146
46 Valencia/València;46250 València;4625006013 València sección 06013;Total;Todas las edades;2025;1.439
46 Valencia/València;46250 València;4625006014 València sección 06014;Total;Todas las edades;2025;1.600
46 Valencia/València;46250 València;4625006015 València sección 06015;Total;Todas las edades;2025;2.121
46 Valencia/València;46250 València;4625006016 València sección 06016;Total;Todas las edades;2025;877
46 Valencia/València;46250 València;4625006017 València sección 06017;Total;Todas las edades;2025;1.764
46 Valencia/València;46250 València;4625006018 València sección 06018;Total;Todas las edades;2025;1.028
46 Valencia/València;46250 València;4625006019 València sección 06019;Total;Todas las edades;2025;1.027
46 Valencia/València;46250 València;4625006021 València sección 06021;Total;Todas las edades;2025;807
46 Valencia/València;46250 València;4625006022 València sección 06022;Total;Todas las edades;2025;1.038
46 Valencia/València;46250 València;4625006023 València sección 06023;Total;Todas las edades;2025;1.222
46 Valencia/València;46250 València;4625006024 València sección 06024;Total;Todas las edades;2025;1.552
46 Valencia/València;46250 València;4625006026 València sección 06026;Total;Todas las edades;2025;1.682
46 Valencia/València;46250 València;4625006027 València sección 06027;Total;Todas las edades;2025;1.281
46 Valencia/València;46250 València;4625007001 València sección 07001;Total;Todas las edades;2025;1.274
46 Valencia/València;46250 València;4625007002 València sección 07002;Total;Todas las edades;2025;1.965
46 Valencia/València;46250 València;4625007003 València sección 07003;Total;Todas las edades;2025;1.440
46 Valencia/València;46250 València;4625007004 València sección 07004;Total;Todas las edades;2025;990
46 Valencia/València;46250 València;4625007005 València sección 07005;Total;Todas las edades;2025;1.220
46 Valencia/València;46250 València;4625007006 València sección 07006;Total;Todas las edades;2025;1.225
46 Valencia/València;46250 València;4625007007 València sección 07007;Total;Todas las edades;2025;1.201
46 Valencia/València;46250 València;4625007008 València sección 07008;Total;Todas las edades;2025;831
46 Valencia/València;46250 València;4625007009 València sección 07009;Total;Todas las edades;2025;1.253
46 Valencia/València;46250 València;4625007010 València sección 07010;Total;Todas las edades;2025;2.079
46 Valencia/València;46250 València;4625007012 València sección 07012;Total;Todas las edades;2025;1.117
46 Valencia/València;46250 València;4625007013 València sección 07013;Total;Todas las edades;2025;1.024
46 Valencia/València;46250 València;4625007014 València sección 07014;Total;Todas las edades;2025;1.043
46 Valencia/València;46250 València;4625007015 València sección 07015;Total;Todas las edades;2025;1.159
46 Valencia/València;46250 València;4625007016 València sección 07016;Total;Todas las edades;2025;2.002
46 Valencia/València;46250 València;4625007017 València sección 07017;Total;Todas las edades;2025;2.096
46 Valencia/València;46250 València;4625007018 València sección 07018;Total;Todas las edades;2025;1.291
46 Valencia/València;46250 València;4625007019 València sección 07019;Total;Todas las edades;2025;1.648
46 Valencia/València;46250 València;4625007020 València sección 07020;Total;Todas las edades;2025;1.771
46 Valencia/València;46250 València;4625007021 València sección 07021;Total;Todas las edades;2025;1.421
46 Valencia/València;46250 València;4625007022 València sección 07022;Total;Todas las edades;2025;1.483
46 Valencia/València;46250 València;4625007023 València sección 07023;Total;Todas las edades;2025;795
46 Valencia/València;46250 València;4625007024 València sección 07024;Total;Todas las edades;2025;1.458
46 Valencia/València;46250 València;4625007025 València sección 07025;Total;Todas las edades;2025;1.072
46 Valencia/València;46250 València;4625007026 València sección 07026;Total;Todas las edades;2025;1.228
46 Valencia/València;46250 València;4625007027 València sección 07027;Total;Todas las edades;2025;4.019
46 Valencia/València;46250 València;4625007029 València sección 07029;Total;Todas las edades;2025;""
46 Valencia/València;46250 València;4625007030 València sección 07030;Total;Todas las edades;2025;1.761
46 Valencia/València;46250 València;4625007031 València sección 07031;Total;Todas las edades;2025;1.064
46 Valencia/València;46250 València;4625007032 València sección 07032;Total;Todas las edades;2025;1.247
46 Valencia/València;46250 València;4625007036 València sección 07036;Total;Todas las edades;2025;1.822
46 Valencia/València;46250 València;4625007037 València sección 07037;Total;Todas las edades;2025;2.127
46 Valencia/València;46250 València;4625007039 València sección 07039;Total;Todas las edades;2025;1.389
46 Valencia/València;46250 València;4625007040 València sección 07040;Total;Todas las edades;2025;1.240
46 Valencia/València;46250 València;4625007041 València sección 07041;Total;Todas las edades;2025;1.105
46 Valencia/València;46250 València;4625007042 València sección 07042;Total;Todas las edades;2025;2.311
46 Valencia/València;46250 València;4625008001 València sección 08001;Total;Todas las edades;2025;1.954
46 Valencia/València;46250 València;4625008002 València sección 08002;Total;Todas las edades;2025;821
46 Valencia/València;46250 València;4625008003 València sección 08003;Total;Todas las edades;2025;826
46 Valencia/València;46250 València;4625008004 València sección 08004;Total;Todas las edades;2025;1.824
46 Valencia/València;46250 València;4625008005 València sección 08005;Total;Todas las edades;2025;""
46 Valencia/València;46250 València;4625008006 València sección 08006;Total;Todas las edades;2025;1.086
46 Valencia/València;46250 València;4625008007 València sección 08007;Total;Todas las edades;2025;1.102
46 Valencia/València;46250 València;4625008008 València sección 08008;Total;Todas las edades;2025;909
46 Valencia/València;46250 València;4625008009 València sección 08009;Total;Todas las edades;2025;864
46 Valencia/València;46250 València;4625008010 València sección 08010;Total;Todas las edades;2025;2.312
46 Valencia/València;46250 València;4625008012 València sección 08012;Total;Todas las edades;2025;1.373
46 Valencia/València;46250 València;4625008013 València sección 08013;Total;Todas las edades;2025;2.076
46 Valencia/València;46250 València;4625008014 València sección 08014;Total;Todas las edades;2025;1.799
46 Valencia/València;46250 València;4625008015 València sección 08015;Total;Todas las edades;2025;1.035
46 Valencia/València;46250 València;4625008016 València sección 08016;Total;Todas las edades;2025;784
46 Valencia/València;46250 València;4625008017 València sección 08017;Total;Todas las edades;2025;818
46 Valencia/València;46250 València;4625008018 València sección 08018;Total;Todas las edades;2025;2.239
46 Valencia/València;46250 València;4625008019 València sección 08019;Total;Todas las edades;2025;2.124
46 Valencia/València;46250 València;4625008020 València sección 08020;Total;Todas las edades;2025;1.845
46 Valencia/València;46250 València;4625008021 València sección 08021;Total;Todas las edades;2025;1.435
46 Valencia/València;46250 València;4625008022 València sección 08022;Total;Todas las edades;2025;1.405
46 Valencia/València;46250 València;4625008023 València sección 08023;Total;Todas las edades;2025;939
46 Valencia/València;46250 València;4625008024 València sección 08024;Total;Todas las edades;2025;1.605
46 Valencia/València;46250 València;4625008025 València sección 08025;Total;Todas las edades;2025;788
46 Valencia/València;46250 València;4625008026 València sección 08026;Total;Todas las edades;2025;1.518
46 Valencia/València;46250 València;4625008027 València sección 08027;Total;Todas las edades;2025;2.223
46 Valencia/València;46250 València;4625008028 València sección 08028;Total;Todas las edades;2025;742
46 Valencia/València;46250 València;4625008029 València sección 08029;Total;Todas las edades;2025;2.349
46 Valencia/València;46250 València;4625008030 València sección 08030;Total;Todas las edades;2025;2.121
46 Valencia/València;46250 València;4625008031 València sección 08031;Total;Todas las edades;2025;1.785
46 Valencia/València;46250 València;4625008032 València sección 08032;Total;Todas las edades;2025;1.928
46 Valencia/València;46250 València;4625008033 València sección 08033;Total;Todas las edades;2025;1.669
46 Valencia/València;46250 València;4625008034 València sección 08034;Total;Todas las edades;2025;1.605
46 Valencia/València;46250 València;4625008035 València sección 08035;Total;Todas las edades;2025;2.278
46 Valencia/València;46250 València;4625008036 València sección 08036;Total;Todas las edades;2025;1.152
46 Valencia/València;46250 València;4625008037 València sección 08037;Total;Todas las edades;2025;1.410
46 Valencia/València;46250 València;4625008038 València sección 08038;Total;Todas las edades;2025;1.346
46 Valencia/València;46250 València;4625008039 València sección 08039;Total;Todas las edades;2025;1.033
46 Valencia/València;46250 València;4625008040 València sección 08040;Total;Todas las edades;2025;1.101
46 Valencia/València;46250 València;4625008041 València sección 08041;Total;Todas las edades;2025;1.285
46 Valencia/València;46250 València;4625008042 València sección 08042;Total;Todas las edades;2025;2.419
46 Valencia/València;46250 València;4625009001 València sección 09001;Total;Todas las edades;2025;1.307
46 Valencia/València;46250 València;4625009002 València sección 09002;Total;Todas las edades;2025;1.031
46 Valencia/València;46250 València;4625009003 València sección 09003;Total;Todas las edades;2025;1.157
46 Valencia/València;46250 València;4625009004 València sección 09004;Total;Todas las edades;2025;1.053
46 Valencia/València;46250 València;4625009005 València sección 09005;Total;Todas las edades;2025;2.287
46 Valencia/València;46250 València;4625009007 València sección 09007;Total;Todas las edades;2025;1.765
46 Valencia/València;46250 València;4625009008 València sección 09008;Total;Todas las edades;2025;976
46 Valencia/València;46250 València;4625009009 València sección 09009;Total;Todas las edades;2025;1.889
46 Valencia/València;46250 València;4625009010 València sección 09010;Total;Todas las edades;2025;1.780
46 Valencia/València;46250 València;4625009012 València sección 09012;Total;Todas las edades;2025;1.257
46 Valencia/València;46250 València;4625009013 València sección 09013;Total;Todas las edades;2025;1.932
46 Valencia/València;46250 València;4625009015 València sección 09015;Total;Todas las edades;2025;1.320
46 Valencia/València;46250 València;4625009016 València sección 09016;Total;Todas las edades;2025;1.498
46 Valencia/València;46250 València;4625009017 València sección 09017;Total;Todas las edades;2025;955
46 Valencia/València;46250 València;4625009018 València sección 09018;Total;Todas las edades;2025;1.871
46 Valencia/València;46250 València;4625009019 València sección 09019;Total;Todas las edades;2025;1.380
46 Valencia/València;46250 València;4625009020 València sección 09020;Total;Todas las edades;2025;1.624
46 Valencia/València;46250 València;4625009021 València sección 09021;Total;Todas las edades;2025;1.836
46 Valencia/València;46250 València;4625009022 València sección 09022;Total;Todas las edades;2025;1.216
46 Valencia/València;46250 València;4625009023 València sección 09023;Total;Todas las edades;2025;1.227
46 Valencia/València;46250 València;4625009024 València sección 09024;Total;Todas las edades;2025;1.062
46 Valencia/València;46250 València;4625009025 València sección 09025;Total;Todas las edades;2025;1.434
46 Valencia/València;46250 València;4625009026 València sección 09026;Total;Todas las edades;2025;1.772
46 Valencia/València;46250 València;4625009028 València sección 09028;Total;Todas las edades;2025;1.800
46 Valencia/València;46250 València;4625009029 València sección 09029;Total;Todas las edades;2025;1.141
46 Valencia/València;46250 València;4625009030 València sección 09030;Total;Todas las edades;2025;2.029
46 Valencia/València;46250 València;4625009031 València sección 09031;Total;Todas las edades;2025;1.972
46 Valencia/València;46250 València;4625009032 València sección 09032;Total;Todas las edades;2025;1.124
46 Valencia/València;46250 València;4625009033 València sección 09033;Total;Todas las edades;2025;951
46 Valencia/València;46250 València;4625009034 València sección 09034;Total;Todas las edades;2025;890
46 Valencia/València;46250 València;4625009035 València sección 09035;Total;Todas las edades;2025;1.026
46 Valencia/València;46250 València;4625009036 València sección 09036;Total;Todas las edades;2025;750
46 Valencia/València;46250 València;4625009037 València sección 09037;Total;Todas las edades;2025;968
46 Valencia/València;46250 València;4625009038 València sección 09038;Total;Todas las edades;2025;2.264
46 Valencia/València;46250 València;4625009039 València sección 09039;Total;Todas las edades;2025;1.685
46 Valencia/València;46250 València;4625009040 València sección 09040;Total;Todas las edades;2025;942
46 Valencia/València;46250 València;4625009041 València sección 09041;Total;Todas las edades;2025;1.656
46 Valencia/València;46250 València;4625009042 València sección 09042;Total;Todas las edades;2025;1.353
46 Valencia/València;46250 València;4625010001 València sección 10001;Total;Todas las edades;2025;2.074
46 Valencia/València;46250 València;4625010002 València sección 10002;Total;Todas las edades;2025;1.654
46 Valencia/València;46250 València;4625010003 València sección 10003;Total;Todas las edades;2025;1.955
46 Valencia/València;46250 València;4625010004 València sección 10004;Total;Todas las edades;2025;1.296
46 Valencia/València;46250 València;4625010005 València sección 10005;Total;Todas las edades;2025;1.457
46 Valencia/València;46250 València;4625010006 València sección 10006;Total;Todas las edades;2025;1.391
46 Valencia/València;46250 València;4625010007 València sección 10007;Total;Todas las edades;2025;2.123
46 Valencia/València;46250 València;4625010008 València sección 10008;Total;Todas las edades;2025;1.804
46 Valencia/València;46250 València;4625010009 València sección 10009;Total;Todas las edades;2025;1.146
46 Valencia/València;46250 València;4625010010 València sección 10010;Total;Todas las edades;2025;1.134
46 Valencia/València;46250 València;4625010011 València sección 10011;Total;Todas las edades;2025;935
46 Valencia/València;46250 València;4625010012 València sección 10012;Total;Todas las edades;2025;835
46 Valencia/València;46250 València;4625010013 València sección 10013;Total;Todas las edades;2025;1.752
46 Valencia/València;46250 València;4625010014 València sección 10014;Total;Todas las edades;2025;1.144
46 Valencia/València;46250 València;4625010015 València sección 10015;Total;Todas las edades;2025;991
46 Valencia/València;46250 València;4625010016 València sección 10016;Total;Todas las edades;2025;1.402
46 Valencia/València;46250 València;4625010017 València sección 10017;Total;Todas las edades;2025;1.214
46 Valencia/València;46250 València;4625010018 València sección 10018;Total;Todas las edades;2025;1.625
46 Valencia/València;46250 València;4625010019 València sección 10019;Total;Todas las edades;2025;1.394
46 Valencia/València;46250 València;4625010021 València sección 10021;Total;Todas las edades;2025;1.846
46 Valencia/València;46250 València;4625010022 València sección 10022;Total;Todas las edades;2025;2.284
