customer_id,lon,lat,demand,scenario,instance_size,districte,barri,seccio_censal,poblacion_seccion,postal_code,codi_carrer,numpost,lletra,x_etrs89,y_etrs89
30,2.1808024196805813,41.395895048425814,4,medium,200,2,5,2005,4045,13,325005,105,,431517.82,4583030.426
31,2.1655777714402844,41.37278010395659,3,medium,200,3,11,3014,1875,4,294207,45,,430220.37,4580476.387
32,2.1874284901552636,41.41343122584381,3,medium,200,10,65,10028,1808,26,257608,6,,432090.004,4584972.054
33,2.200557026137849,41.42180369659896,5,medium,200,10,73,10132,1246,20,208205,94,,433195.8,4585891.346
34,2.1723351316822543,41.427904417013366,5,medium,200,8,44,8010,1141,31,69109,42,,430843.935,4586590.799
35,2.1397715788571223,41.39936343434492,3,medium,200,5,26,5052,1424,21,134404,45,,428091.57,4583448.726
36,2.1624050623333173,41.414834870437105,5,medium,200,7,34,7020,1725,24,351107,20,,430000.18,4585147.808
37,2.145119224787817,41.38423199290987,3,medium,200,2,9,2124,1148,29,289105,41,,428522.022,4581764.429
38,2.1710969359959296,41.425615284388314,5,medium,200,7,36,7053,1449,32,307309,9,,430738.043,4586337.651
39,2.137537462878636,41.364200182468494,4,medium,200,3,13,3212,2612,38,212406,14,,427865.964,4579546.812
40,2.143993185664015,41.4108176146288,3,medium,200,5,27,5091,1557,23,95608,77,,428457.033,4584716.861
41,2.1662652268409968,41.38587984354578,2,medium,200,2,7,2077,1843,1,250904,7,,430291.85,4581930.145
42,2.1623412293512763,41.40056308541404,4,medium,200,6,31,6056,1702,12,178909,45,,429979.523,4583563.422
43,2.1763213924335485,41.380284080519246,3,medium,200,1,2,1029,1522,2,112401,7,,431126.744,4581300.872
44,2.171824532952208,41.407468309559064,2,medium,200,2,6,2045,1214,25,161407,116,,430779.575,4584322.41
45,2.1470398722133432,41.37235460280398,2,medium,200,3,14,3046,1521,4,300004,9,,428669.635,4580444.238
46,2.17730074879826,41.423504646879664,5,medium,200,7,35,7044,1365,41,152905,253,,431254.203,4586098.386
47,2.1758603486347927,41.41933616085721,2,medium,200,7,35,7033,1493,41,364506,16,,431129.436,4585636.749
48,2.179112439267305,41.43189162604456,5,medium,200,8,45,8021,1476,16,319104,100,,431414.419,4587028.065
49,2.1412366435225603,41.42434979807239,5,medium,200,7,39,7089,1433,35,252455,6,,428241.543,4586221.473
50,2.1938133939417717,41.433138792877756,2,medium,200,9,60,9016,1261,30,245405,32,,432643.991,4587154.983
51,2.170139957753988,41.41847226350525,4,medium,200,7,35,7028,1532,41,50100,44,,430650.479,4585545.405
52,2.17676026360483,41.41461008975194,4,medium,200,7,35,7039,1650,41,310008,72,,431199.652,4585111.35
53,2.164628570868415,41.40881334669421,3,medium,200,6,32,6079,1180,25,356304,62,,430179.558,4584477.51
54,2.1812874713263946,41.417375098988806,4,medium,200,9,63,9085,1785,41,11404,15,,431580.908,4585414.732
55,2.188115507736634,41.415807086237436,3,medium,200,9,63,9095,2278,27,43900,22,,432149.894,4585235.281
56,2.185576468889818,41.44648779195877,3,medium,200,8,52,8097,1367,16,120807,450,,431969.742,4588643.422
57,2.162255113800071,41.40400526339094,3,medium,200,6,32,6064,1926,24,344101,222,,429976.02,4583945.638
58,2.1853363488609476,41.41699584694731,5,medium,200,9,63,9088,2002,27,103900,1,,431918.876,4585369.437
59,2.1865363472033317,41.425931462939715,4,medium,200,9,61,9055,1871,27,250609,3,,432028.479,4586360.518
60,2.139697378068615,41.413661971152244,3,medium,200,6,28,6007,2012,23,147508,86,,428101.133,4585036.196
61,2.1750053924703967,41.447701733507024,5,medium,200,8,50,8068,2039,42,212304,50,,431087.998,4588786.556
62,2.1642529356665894,41.403096813748164,5,medium,200,6,32,6064,1926,37,305100,179,,430142.039,4583843.17
63,2.1303021479272095,41.371622706078725,5,medium,200,3,17,3071,1422,28,328808,100,,427269.083,4580376.893
64,2.176770309604842,41.406342613025025,4,medium,200,2,6,2034,1202,25,268003,481,,431191.768,4584193.496
65,2.1501437356486544,41.42380322715277,3,medium,200,7,38,7081,1948,32,312604,41,,428985.233,4586153.45
66,2.186057081696451,41.44421210769204,5,medium,200,8,52,8097,1367,16,127205,4,,432007.513,4588390.399
67,2.1754409982804215,41.42514438990924,3,medium,200,7,35,7047,1567,32,202504,7,,431100.532,4586281.907
68,2.1285861583130874,41.37350861744853,3,medium,200,3,17,3075,1764,28,300106,1,,427127.682,4580587.705
69,2.1364907523512,41.38306732397128,3,medium,200,4,19,4005,1217,14,52605,48,,427799.286,4581642.282
70,2.1386011462648646,41.381960509247065,5,medium,200,3,18,3112,1896,14,285104,51,,427974.523,4581517.649
71,2.157940687780776,41.4233989820594,4,medium,200,7,37,7070,1483,32,3600,36,,429636.323,4586102.206
72,2.1685030083640435,41.372092845231634,3,medium,200,3,11,3022,1442,4,43502,27,,430464.267,4580397.738
73,2.146090803420509,41.40525092071385,3,medium,200,5,27,5084,1396,6,353408,78,,428626.256,4584097.122
74,2.1402713075768145,41.4030540482766,3,medium,200,5,26,5078,2121,6,155700,5,,428137.41,4583858.039
75,2.1515773945498275,41.38280479492458,4,medium,200,2,9,2138,1983,15,54509,166,,429060.454,4581600.677
76,2.1308670585367504,41.38045658289712,3,medium,200,4,19,4035,1343,28,187207,153,,427326.16,4581357.142
77,2.132606258837793,41.38007297065319,4,medium,200,3,18,3087,1551,28,172403,91,,427471.161,4581313.097
78,2.1995420902946785,41.40521973535958,3,medium,200,10,68,10068,1610,18,249304,205,,433093.972,4584050.997
79,2.2075764931088373,41.41728976779675,3,medium,200,10,71,10102,2663,20,244800,27,,433777.79,4585384.823
80,2.175853289192799,41.398576132358166,5,medium,200,2,5,2017,1978,13,89004,446,,431106.917,4583332.0
81,2.145132911771523,41.38532278659953,3,medium,200,2,9,2124,1148,29,285807,241,,428524.361,4581885.516
82,2.192029355896482,41.45388750298063,2,medium,200,9,57,9001,2835,33,701913,4,,432516.437,4589459.883
83,2.1834438425852163,41.410163151321306,3,medium,200,10,64,10020,1507,26,286300,82,,431753.567,4584612.368
84,2.1424416221140548,41.374277311133866,4,medium,200,3,15,3051,1849,14,222603,69,,428287.206,4580661.488
85,2.174688602629069,41.402803286544774,2,medium,200,2,6,2051,1906,13,191204,406,,431014.027,4583802.22
86,2.1421272017038535,41.375168711794295,3,medium,200,3,15,3051,1849,14,94809,117,,428261.892,4580760.71
87,2.1757613360808903,41.39878037616484,2,medium,200,2,5,2018,1851,13,89004,463,,431099.446,4583354.748
88,2.186925391989728,41.44094052535059,4,medium,200,9,60,9034,1467,30,35800,25,,432076.636,4588026.508
89,2.1429277207076014,41.37003568587108,4,medium,200,3,14,3043,1628,4,169409,234,,428323.2,4580190.188
90,2.1745665962672414,41.43704122319347,5,medium,200,8,45,8033,1518,16,166502,7,,431040.059,4587603.381
91,2.1672031566330943,41.43099407275466,3,medium,200,8,46,8045,1894,31,54000,1,,430418.425,4586937.922
92,2.1841925816655983,41.44488280714624,5,medium,200,8,52,8098,1342,16,127205,38,,431852.463,4588466.326
93,2.1605391614022516,41.41102199300929,2,medium,200,6,32,6086,1009,24,234453,1,,429840.138,4584726.016
94,2.1237095766252705,41.39546026334873,5,medium,200,5,23,5015,1591,34,130709,17,,426744.515,4583028.857
95,2.1407255214264223,41.375409653272285,4,medium,200,3,15,3050,1695,14,312400,2,,428144.943,4580788.62
96,2.179207098538943,41.408502758586884,5,medium,200,2,6,2038,1543,25,268003,533,,431397.717,4584431.38
97,2.184569524391814,41.40541490467453,5,medium,200,10,65,10041,1620,13,89004,593,,431842.688,4584084.337
98,2.1951729540704914,41.41307389392156,4,medium,200,10,72,10107,1524,18,86200,84,,432736.878,4584926.34
99,2.185009059672391,41.43364566747213,3,medium,200,9,60,9046,1304,30,279203,14,,431908.922,4587218.143
100,2.163787887843165,41.37905015772864,4,medium,200,1,1,1012,2139,1,267306,1,,430077.403,4581173.92
101,2.1345592506084397,41.36454762722001,5,medium,200,3,16,3064,2171,14,160903,4,,427617.257,4579587.867
102,2.2050236714998324,41.40275802590167,5,medium,200,10,68,10071,1719,5,168009,16,,433549.644,4583773.482
103,2.1917014337641976,41.4520802392458,5,medium,200,9,57,9002,2313,33,131100,56,,432487.174,4589259.497
104,2.2111456347522602,41.42051070543458,2,medium,200,10,70,10087,1960,20,205105,6,,434079.32,4585739.685
105,2.1338237706847187,41.403066508295,4,medium,200,5,25,5047,1233,22,191703,31,,427598.485,4583864.791
106,2.1720290347009232,41.445878847492466,2,medium,200,8,50,8072,1235,42,140804,18,,430837.444,4588586.554
107,2.172165215401973,41.42756957656246,4,medium,200,8,44,8008,1640,31,14107,52,,430829.382,4586553.761
108,2.1692052192497684,41.43540842138095,5,medium,200,8,48,8050,1368,42,45950,8,,430590.405,4587426.393
109,2.160588309399649,41.39391778722717,2,medium,200,2,7,2081,2268,8,268003,278,,429825.846,4582827.088
110,2.1838996783732383,41.414502890768986,4,medium,200,10,64,10002,1939,26,291005,48,,431796.205,4585093.802
111,2.179745937977434,41.42912810219228,5,medium,200,8,44,8015,1531,16,25409,2,,431464.442,4586720.759
112,2.1533554681710503,41.42539809496573,5,medium,200,7,37,7080,1770,32,97807,158,,429255.342,4586327.882
113,2.133553535741831,41.38036921253721,3,medium,200,3,18,3088,1394,28,138802,161,,427550.699,4581345.193
114,2.179286585491225,41.44299449740453,2,medium,200,8,52,8088,1334,16,61504,26,,431440.655,4588260.561
115,2.175232604791994,41.43537111217971,5,medium,200,8,45,8035,7056,16,322404,63,,431093.934,4587417.436
116,2.177362700165026,41.42207122866498,5,medium,200,7,35,7044,1365,41,152905,210,,431257.868,4585939.2
117,2.1944868218331175,41.415963590390035,4,medium,200,10,72,10112,1489,20,158504,38,,432682.518,4585247.684
118,2.1574161373909138,41.40633402205495,5,medium,200,6,31,6033,1346,24,293805,7,,429574.059,4584208.097
119,2.1611631256467194,41.4229341118633,2,medium,200,7,36,7056,1260,32,195806,59,,429905.097,4586047.983
120,2.131121451967922,41.382073154008324,4,medium,200,4,19,4033,1171,28,125006,41,,427349.231,4581536.398
121,2.186299253245717,41.44604706634531,2,medium,200,8,52,8097,1367,16,209900,569,,432029.658,4588593.925
122,2.1652833448895845,41.38037106046475,5,medium,200,1,1,1013,1472,1,282106,43,,430203.864,4581319.359
123,2.1988858507225446,41.41531703353963,4,medium,200,10,72,10109,1787,20,266802,2,,433049.488,4585172.494
124,2.174531361987867,41.41629691824715,5,medium,200,7,35,7040,1586,41,310008,134,,431015.16,4585300.393
125,2.1614433799141124,41.41003501771496,4,medium,200,6,32,6084,1499,24,201104,136,,429914.65,4584615.711
126,2.1352664247161397,41.40613891021868,2,medium,200,5,25,5040,1478,22,302203,97,,427722.479,4584204.681
127,2.148774707137641,41.380868485883326,2,medium,200,2,9,2135,2079,15,110803,113,,428823.998,4581388.009
128,2.139818590035464,41.42057667623599,3,medium,200,7,39,7089,1433,35,166900,1,,428118.888,4585803.76
129,2.138728759589625,41.402079197870044,4,medium,200,5,26,5050,1762,21,223606,467,,428007.395,4583751.093
130,2.1497318765352045,41.39085533970911,2,medium,200,2,8,2105,2195,36,245802,132,,428914.912,4582495.949
131,2.1212163038376857,41.396908557429065,5,medium,200,5,23,5013,1667,34,168701,15,,426537.713,4583191.756
132,2.141022773279505,41.39248933132679,2,medium,200,5,26,5057,1684,21,167550,3,,428188.595,4582684.534
133,2.12538995647185,41.392840800029674,3,medium,200,5,23,5018,1305,34,120308,15,,426882.056,4582736.628
134,2.1455509773506365,41.41037233556695,2,medium,200,5,27,5091,1557,23,95700,2,,428586.743,4584666.141
135,2.1392784339271858,41.413833402280254,3,medium,200,6,28,6008,2123,23,147508,59,,428066.309,4585055.576
136,2.1770778086145937,41.43040558862947,3,medium,200,8,45,8024,1403,16,119003,228,,431242.855,4586864.7
137,2.195165575211833,41.410914848506664,2,medium,200,10,65,10035,1911,18,180401,238,,432734.034,4584686.651
138,2.19574081654406,41.40799624885363,4,medium,200,10,71,10097,1574,18,253902,74,,432779.103,4584362.185
139,2.1503090518670867,41.37878944291849,5,medium,200,2,9,2148,1601,15,362001,72,,428950.032,4581155.938
140,2.149452975109711,41.40824719249771,5,medium,200,6,28,6002,1595,23,158107,10,,428910.551,4584427.0
141,2.109660694610576,41.39501157527169,3,medium,200,4,21,4056,1977,34,218402,11,,425569.543,4582991.018
142,2.134750229727652,41.380223549377334,5,medium,200,3,18,3110,1439,14,7407,145,,427650.602,4581328.022
143,2.147578211385293,41.417073369980265,5,medium,200,6,29,6014,1488,23,327204,3,,428763.499,4585408.414
144,2.1347239583537196,41.41981609257871,5,medium,200,6,28,6009,1389,35,2210,57,,427692.307,4585723.562
145,2.1588876069181984,41.40329274813951,3,medium,200,6,31,6054,1574,12,341908,23,,429693.772,4583869.263
146,2.175999591535192,41.399815818710415,5,medium,200,2,5,2019,1989,13,325005,242,,431120.456,4583469.512
147,2.150727525996154,41.38677825891766,4,medium,200,2,9,2117,1223,29,268003,105,,428993.716,4582042.501
148,2.1499381279687078,41.38761374872592,2,medium,200,2,9,2117,1223,29,289105,98,,428928.625,4582135.903
149,2.1519697761427756,41.38392900547395,3,medium,200,2,9,2138,1983,15,361406,184,,429094.484,4581725.164
150,2.185440426883257,41.429512286859584,4,medium,200,9,60,9054,1109,30,701326,61,,431940.645,4586758.919
151,2.15550502673583,41.37355577973481,2,medium,200,3,11,3004,1544,4,234500,47,,429378.855,4580570.659
152,2.201281210332294,41.402851645337584,3,medium,200,10,68,10065,1649,5,177203,5,,433236.913,4583786.753
153,2.153056624576725,41.416472156762666,5,medium,200,6,30,6018,1401,24,237804,44,,429220.679,4585337.176
154,2.180782177432901,41.414128218487434,2,medium,200,10,64,10006,1900,26,194406,21,,431535.271,4585054.666
155,2.1828968950920262,41.422538476772885,3,medium,200,9,62,9081,1810,27,168905,29,,431720.816,4585986.695
156,2.187992005496719,41.42220244388995,2,medium,200,9,61,9067,1496,27,104006,2,,432146.23,4585945.384
157,2.139483746766204,41.40752688386772,4,medium,200,5,27,5094,2827,22,72001,31,,428076.512,4584355.262
158,2.1264200190186733,41.38411625452329,2,medium,200,4,20,4084,1435,28,207202,42,,426958.406,4581767.172
159,2.1258632407305913,41.38056981576501,5,medium,200,4,20,4036,1806,28,84703,30,,426907.881,4581373.921
160,2.2074297873497866,41.425009806534,2,medium,200,10,73,10138,3322,20,357500,24,,433773.374,4586242.006
161,2.1743229128370505,41.3925507721637,5,medium,200,2,7,2073,1800,10,145003,32,,430972.612,4582664.291
162,2.1582206062341323,41.40392885155011,5,medium,200,6,31,6053,1547,12,341908,39,,429638.705,4583940.424
163,2.133169091647654,41.37980204155277,5,medium,200,3,18,3088,1394,28,365000,124,,427517.923,4581282.548
164,2.1891371338345484,41.38161578302309,5,medium,200,1,3,1037,1304,3,27700,1,,432199.746,4581438.61
165,2.1612617823056417,41.37376817142967,2,medium,200,3,11,3011,1823,4,108007,53,,429860.498,4580589.564
166,2.1453388067297725,41.37584342171322,5,medium,200,3,15,3047,1799,14,246703,12,,428531.198,4580832.962
167,2.180259587093206,41.41605245524186,4,medium,200,7,35,7035,1855,41,194406,51,,431493.618,4585268.706
168,2.170437578146634,41.39308755993152,5,medium,200,2,7,2071,1695,9,100800,315,,430648.362,4582726.987
169,2.1812482560258597,41.38797947053053,5,medium,200,1,4,1054,1234,3,336103,6,,431546.787,4582151.298
170,2.1925391888072685,41.437648188033805,4,medium,200,9,60,9027,1308,30,173508,34,,432542.201,4587656.605
171,2.1353945886383556,41.37825993608912,3,medium,200,3,18,3109,1578,14,210808,8,,427702.307,4581109.487
172,2.202337987953584,41.41592679360214,2,medium,200,10,72,10122,1451,20,700731,4,,433338.615,4585237.526
173,2.12509255387129,41.37590633664937,2,medium,200,3,17,3081,2038,28,23800,1,,426838.212,4580856.839
174,2.146147768697211,41.40212239773722,3,medium,200,5,27,5080,1391,6,32700,296,,428627.594,4583749.75
175,2.189586485200748,41.45184239815059,5,medium,200,9,57,9003,2302,33,213704,42,,432310.275,4589234.744
176,2.1761941464178376,41.44550731680548,4,medium,200,8,50,8074,1659,42,120807,207,,431184.977,4588541.987
177,2.1602083433244785,41.379915617391994,3,medium,200,2,10,2162,1392,15,127704,95,,429779.016,4581272.896
178,2.1281260914421667,41.381013759636225,2,medium,200,4,20,4036,1806,28,196208,25,,427097.59,4581421.301
179,2.148814179005533,41.40272846065172,4,medium,200,5,27,5082,1701,6,152508,20,,428851.139,4583814.841
180,2.1470843361522496,41.39666375548461,4,medium,200,5,26,5066,1386,21,196900,133,,428699.915,4583142.967
181,2.1893918057590547,41.41497311234704,5,medium,200,9,63,9095,2278,27,367300,323,,432255.69,4585141.695
182,2.1757595979650346,41.43145267095633,4,medium,200,8,45,8024,1403,16,8206,61,,431133.821,4586981.994
183,2.1782258469339864,41.43157171115463,4,medium,200,8,45,8023,1477,16,108903,72,,431340.006,4586993.251
184,2.1374483739993893,41.37309366642638,5,medium,200,3,18,3101,6718,14,289207,18,,427868.337,4580534.225
185,2.1705317769057415,41.39486198700937,3,medium,200,2,7,2070,1248,9,89004,395,,430658.123,4582923.906
186,2.174065633094201,41.42482367689378,5,medium,200,7,35,7049,1208,32,200101,28,,430985.267,4586247.397
187,2.158907901869773,41.41257147903157,3,medium,200,6,30,6024,1753,24,366002,70,,429705.471,4584899.361
188,2.175782433983906,41.46278996447231,2,medium,200,8,55,8114,2029,33,248301,62,,431168.859,4590461.029
189,2.1897612197043865,41.41547378274494,3,medium,200,9,63,9094,2039,27,224100,34,,432287.083,4585196.99
190,2.1621454566308227,41.413323752028795,2,medium,200,7,33,7019,1657,24,56606,7,,429976.861,4584980.255
191,2.1904887199743537,41.42478610209959,2,medium,200,9,61,9059,1447,27,216509,56,,432357.546,4586230.266
192,2.1761028393001958,41.45075820415339,5,medium,200,8,54,8109,965,33,12305,297,,431182.899,4589125.011
193,2.1670051016761303,41.373233381532096,5,medium,200,3,11,3015,3301,4,130006,32,,430340.217,4580525.561
194,2.116548179222597,41.37841127457942,2,medium,200,4,20,4043,1583,28,65200,35,,426126.539,4581142.181
195,2.1625021281788093,41.37655095632075,5,medium,200,2,10,2172,1502,15,246000,27,,429967.208,4580897.501
196,2.142472870870901,41.37085277492522,2,medium,200,3,15,3056,973,14,222603,10,,428286.058,4580281.276
197,2.178350272082238,41.396043346682404,3,medium,200,2,5,2007,1283,13,225500,133,,431312.983,4583048.831
198,2.1877826551354635,41.40093024755119,4,medium,200,10,66,10043,3301,18,4908,153,,432106.59,4583583.933
199,2.1875494155719246,41.40873033796432,3,medium,200,10,65,10039,1889,18,209900,128,,432095.215,4584450.072
